Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
Dhoom 3,https://wikipedia.org/wiki/Dhoom_3,Vijay Krishna Acharya,Aditya Chopra,Vijay Krishna Acharya,Aamir Khan Abhishek Bachchan Uday Chopra Jackie Shroff Katrina Kaif,Score:Salim–SulaimanJulius PackiamSongs:Pritam,₹100 crore[4][5],est. ₹556.74 crore[6]
Race 3,https://wikipedia.org/wiki/Race_3,Remo D'Souza,Ramesh S. TauraniSalman Khan[1][2],Shiraz AhmedKiran Kotrial,Anil KapoorSalman KhanBobby DeolJacqueline FernandezDaisy ShahSaqib SaleemFreddy Daruwala,Songs:Meet BrosVishal MishraJAM8Vicky-HardikShivay VyasGurinder SeagalBackground Score:Salim–Sulaiman,₹150−180 crore[4][5],est. ₹295–303 crore[6][7]
Pink,https://wikipedia.org/wiki/Pink_(film),,,,,,,
Shaitaan,https://wikipedia.org/wiki/Shaitan_(film),Bejoy Nambiar,Anurag KashyapSunil BohraGuneet Monga,,Rajeev Khandelwal Rajkummar Rao Prachi JainKalki KoechlinPawan MalhotraShiv PandittGulshan DevaiahNeil BhoopalamKirti KulhariRukhsaar RehmanRajit KapoorSheetal Menon,Prashant PillaiAmar MohileRanjit BarotAnupam RoyBhayanak MautMikey McCleary,₹110 million (US$1.3 million),₹397.6 million (US$4.8 million)
Sardar Udham,https://wikipedia.org/wiki/Sardar_Udham,Shoojit Sircar,Ronnie LahiriSheel Kumar,Shubhendu BhattacharyaRitesh Shah,Vicky Kaushal,Shantanu Moitra,,
Fighter,https://wikipedia.org/wiki/Fighter_(2024_film),Siddharth Anand,Mamta AnandRamon ChibbAnku PandeKevin VazAjit Andhare,,"Hrithik Roshan
Deepika Padukone
Anil Kapoor",Score:Sanchit BalharaAnkit BalharaSongs:Vishal–Shekhar,₹250 crore[2],est. ₹337.2 crore[3]
Udaan,https://wikipedia.org/wiki/Udaan_(2010_film),Vikramaditya Motwane,Anurag KashyapSanjay SinghRonnie Screwvala,Vikramaditya MotwaneAnurag Kashyap,Rajat BarmechaRonit RoyAayan BoradiaRam KapoorManjot SinghAnand Tiwari,Amit Trivedi,₹50 million[2],₹33.5 million[3]
Liger,https://wikipedia.org/wiki/Liger_(film),Puri Jagannadh,"Puri Jagannadh
Charmme Kaur
Karan Johar
Apoorva Mehta
Hiroo Yash Johar",Puri Jagannadh,Vijay DeverakondaMike TysonAnanya PandayRamya KrishnaRonit Roy,Vikram MontroseTanishk Bagchi Lijo George-DJ Chetas Sunil KashyapJaani,₹125 crore[2],est. ₹60.80 crore[3]
Devdas,https://wikipedia.org/wiki/Devdas_(2002_Hindi_film),Sanjay Leela Bhansali,Bharat Shah,"Prakash Ranjit Kapadia
Sanjay Leela Bhansali","Shah Rukh Khan
Aishwarya Rai
Madhuri Dixit",Songs:Ismail DarbarScore:Monty Sharma,₹50 crore[2],₹168 crore[3][4]
Ra.One,https://wikipedia.org/wiki/Ra.One,Anubhav Sinha,Gauri Khan,,"Shah Rukh Khan
Arjun Rampal
Kareena Kapoor
Armaan Verma",Vishal–Shekhar,₹150 crore (US$18 million)[a],₹207 crore (US$25 million)[7][8]
Drishyam 2,https://wikipedia.org/wiki/Drishyam_2,Jeethu Joseph,Antony Perumbavoor,Jeethu Joseph,MohanlalMeenaMurali GopyAnsiba HassanAsha SharathSiddiqueK. B. Ganesh Kumar,Anil Johnson,,
Vicky Donor,https://wikipedia.org/wiki/Vicky_Donor,Shoojit Sircar[1][2],John Abraham[6]Sunil LullaRonnie Lahiri,Juhi Chaturvedi[3][4][5],Ayushmann KhurranaYami GautamAnnu KapoorDolly Ahluwalia,Songs & Score:Abhishek-AkshayAdditional Songs:Bann ChakrabortyRochak KohliAyushmann Khurrana[7],₹10 crore[9],est. ₹68.32 crore[10]
Talaash,https://wikipedia.org/wiki/Talaash_(2012_film),Reema Kagti,Ritesh SidhwaniAamir KhanFarhan Akhtar,Additional Dialogues:Anurag KashyapDialogues:Farhan Akhtar,Aamir KhanKareena Kapoor KhanRani Mukerji,Ram Sampath,₹50 crore[2][3][4],est. ₹174.21 crore[5]
Gehraiyaan,https://wikipedia.org/wiki/Gehraiyaan_(film),Shakun Batra,Hiroo Yash JoharKaran JoharShakun BatraApoorva Mehta,,"Deepika Padukone
Siddhant Chaturvedi",Kabeer Kathpalia (OAFF)  Savera Mehta,,
Mission Majnu,https://wikipedia.org/wiki/Mission_Majnu,Shantanu Bagchi,Ronnie ScrewvalaAmar ButalaGarima Mehta,Aseem ArroraSumit BathejaParveez Shaikh,Sidharth MalhotraRashmika MandannaParmeet SethiSharib HashmiKumud MishraRajit Kapur,Score:Ketan SodhaSongs:Tanishk BagchiRochak KohliRaghav SacharArko,,
Gully Boy,https://wikipedia.org/wiki/Gully_Boy,Zoya Akhtar,Farhan AkhtarZoya AkhtarRitesh Sidhwani,Story and Screenplay:Reema KagtiZoya AkhtarDialogues:Vijay Maurya,Ranveer SinghAlia BhattSiddhant Chaturvedi,Songs: See soundtrackScore:Karsh KaleThe Salvage Audio Collective,₹60–70 crore[4][5],est. ₹238.16 crore[6]
Jayeshbhai Jordaar,https://wikipedia.org/wiki/Jayeshbhai_Jordaar,Divyang Thakkar,Aditya ChopraManeesh Sharma,Divyang Thakkar,Ranveer SinghShalini PandeyRatna Pathak ShahBoman IraniDiksha Joshi,Score:Sanchit BalharaAnkit BalharaSongs:Vishal–Shekhar,₹90 crore[3],est. ₹26.31 crore[4]
Dear Zindagi,https://wikipedia.org/wiki/Dear_Zindagi,Gauri Shinde,Gauri KhanKaran JoharGauri Shinde,Gauri Shinde,Alia Bhatt  Shah Rukh Khan,Amit Trivedi,70 crore[2],₹135.47 crore[3]
Ludo,https://wikipedia.org/wiki/Ludo_(film),Anurag Basu,Bhushan KumarDivya Khosla KumarKrishan KumarAnurag BasuTani BasuDeepshikha Bose,Anurag Basu,Abhishek BachchanAditya Roy KapurRajkummar RaoPankaj TripathiFatima Sana ShaikhSanya MalhotraRohit SarafPearle Maaney,Pritam,,
Mimi,https://wikipedia.org/wiki/Mimi_(2021_film),,,,,,,
OMG 2,https://wikipedia.org/wiki/OMG_2,Amit Rai,Aruna BhatiaVipul D. ShahRajesh BahlAshwin VardeAkshay Kumar,Amit Rai,Akshay KumarPankaj Tripathi,Songs:Vikram MontroseHansraj RaghuwanshiDjstringsPranaayKashhSandesh ShandilyaBackground Score:Mangesh Dhakde,est. ₹60 crore[2][3],₹221.08 crore[4]
Rocky Aur Rani Kii Prem Kahaani,https://wikipedia.org/wiki/Rocky_Aur_Rani_Kii_Prem_Kahani,,,,,,,
Dhamaka,https://wikipedia.org/wiki/Dhamaka_(2021_film),Ram Madhvani,Ronnie ScrewvalaAmita MadhvaniRam Madhvani,Puneet SharmaRam Madhvani,Kartik AaryanMrunal ThakurAmruta Subhash,Vishal Khurana,,
Antim: The Final Truth,https://wikipedia.org/wiki/Antim:_The_Final_Truth,Mahesh Manjrekar,Salman Khan,Mahesh ManjrekarAbhijeet DeshpandeSiddharth Salvi,"Salman Khan
Aayush Sharma
Mahima Makwana
Jisshu Sengupta
Waluscha De Sousa",Ravi Basrur  Hitesh Modak,₹40 crore[4],est. ₹59.11 crore[5]
Don,https://wikipedia.org/wiki/Don_(2006_Hindi_film),Farhan Akhtar,"Ritesh Sidhwani
Farhan Akhtar",,"Shah Rukh Khan
Priyanka Chopra
Arjun Rampal
Isha Koppikar
Boman Irani
Pavan Malhotra
Rajesh Khattar
Om Puri
Kareena Kapoor",Shankar–Ehsaan–Loy,₹38 crore[3],₹106.34 crore[3]
Happy New Year,https://wikipedia.org/wiki/Happy_New_Year_(2014_film),Farah Khan,Gauri Khan,Screenplay:Farah KhanAlthea KaushalDialogues:Mayur Puri,Deepika Padukone[1]Shah Rukh KhanAbhishek BachchanSonu SoodBoman IraniVivaan ShahJackie Shroff,Songs:Vishal–ShekharGuest Composition:Dr. ZeusRDBBackground Score:John Stewart Eduri,₹140 crore[3],₹349.71 - 383.1 crore[4]
83,https://wikipedia.org/wiki/83_(film),Kabir Khan,Kabir KhanVishnu Vardhan InduriSajid NadiadwalaDeepika Padukone,Kabir KhanSanjay Puran Singh ChauhanVasan Bala,Ranveer SinghDeepika Padukone,Songs:PritamScore:Julius Packiam,₹250 crore[4][5],est. ₹193.73 crore[6]
Kabir Singh,https://wikipedia.org/wiki/Kabir_Singh,Sandeep Reddy Vanga,Murad KhetaniAshwin VardeBhushan KumarKrishan Kumar,Story & Screenplay:Sandeep Reddy VangaDialogues:Siddharth–Garima,"Shahid Kapoor
Kiara Advani",Score:Harshavardhan RameshwarSongs:MithoonAmaal MallikVishal MishraSachet–ParamparaAkhil Sachdeva,₹60 crore[2],₹379 crore[3]
Kisi Ka Bhai Kisi Ki Jaan,https://wikipedia.org/wiki/Kisi_Ka_Bhai_Kisi_Ki_Jaan,Farhad Samji,Salim Khan,Farhad SamjiSparsh KhetarpalTasha Bhambra,Salman KhanPooja HegdeVenkatesh,Score:Ravi BasrurSongs:Ravi BasrurHimesh ReshammiyaSajid KhanSukhbirPayal DevDevi Sri PrasadAmaal Mallik,₹125 crore[2],₹182.44 crore[3]
Main Hoon Na,https://wikipedia.org/wiki/Main_Hoon_Na,Farah Khan,Gauri KhanRatan Jain,Screenplay:Abbas TyrewalaFarah KhanRajesh SaathiDialogues:Abbas Tyrewala,Shah Rukh KhanSushmita SenSunil ShettyAmrita RaoZayed Khan,Score:Ranjit BarotSongs:Anu Malik,,₹89.7 crore[1]
English Vinglish,https://wikipedia.org/wiki/English_Vinglish,Gauri Shinde,Sunil LullaR. BalkiRakesh JhunjhunwalaR. K. Damani,,SrideviAdil HussainMehdi NebbouPriya Anand,Amit Trivedi,₹10 crore[2][better source needed],₹102 crore (see below)
Jug Jugg Jeeyo,https://wikipedia.org/wiki/Jugjugg_Jeeyo,Raj Mehta,Hiroo Yash JoharKaran JoharApoorva Mehta,Rishhabh Sharrma,"Neetu Kapoor
Anil Kapoor
Varun Dhawan
Kiara Advani
Maniesh Paul
Prajakta Koli",Score:  John Stewart Eduri  Songs:  See Soundtrack,₹120 crore[2],est. ₹136.13 crore[3]
Stree,https://wikipedia.org/wiki/Stree_(2018_film),Amar Kaushik,"Dinesh Vijan
Raj & DK",Sumit Arora (dialogues),"Rajkummar Rao
Shraddha Kapoor
Pankaj Tripathi
Aparshakti Khurana
Abhishek Banerjee
Flora Saini","Sachin–Jigar (songs)
Ketan Sodha (score)",₹23–25 crore[2][3],₹180.76 crore[4]
Ek Tha Tiger,https://wikipedia.org/wiki/Ek_Tha_Tiger,Kabir Khan,Aditya Chopra,,"Salman Khan
Katrina Kaif
Ranvir Shorey
Roshan Seth
Girish Karnad
Gavie Chahal",Songs:Sohail SenGuest Composers:Sajid–WajidBackground Score:Julius Packiam,₹75 crore[2],est. ₹335 crore[3]
Bajirao Mastani,https://wikipedia.org/wiki/Bajirao_Mastani,Sanjay Leela Bhansali,Sanjay Leela BhansaliTiger Sharma Kishore Lulla,,Ranveer SinghDeepika PadukonePriyanka Chopra,Songs:Sanjay Leela BhansaliScore:Sanchit Balhara,₹145 crore[2],est. ₹356.2 crore[3]
Kai po che!,https://wikipedia.org/wiki/Kai_Po_Che!,Abhishek Kapoor,Ronnie ScrewvalaSiddharth Roy Kapur,"Pubali Chaudhari
Supratik Sen
Abhishek Kapoor
Chetan Bhagat","Rajkummar Rao
Sushant Singh Rajput
Amit Sadh
Amrita Puri
Asif Basra",Original Songs:Amit TrivediBackground Score:Hitesh Sonik,₹30 crores[1],est. ₹83 crores[1][2]
Dilwale,https://wikipedia.org/wiki/Dilwale_(2015_film),Rohit Shetty,Gauri KhanRohit Shetty,Screenplay:Yunus SajawalDialogues:Farhad-Sajid,Shah Rukh Khan[1]Varun DhawanKriti SanonKajolPankaj TripathiMukesh TiwariBoman Irani,Score:Amar MohileSongs:Pritam,₹165 crore[3],est. ₹376.85 crore[4]
Talvar,https://wikipedia.org/wiki/Talvar_(film),Meghna Gulzar,Vineet JainVishal Bhardwaj,Vishal Bhardwaj,Irrfan KhanKonkona Sen SharmaNeeraj Kabi,Score:Ketan Sodha Songs:Vishal Bhardwaj,₹15 crore[2],est.₹45.9 crore[3]
Badhaai Ho,https://wikipedia.org/wiki/Badhaai_Ho,Amit Ravindrenath Sharma,Vineet JainHemant BhandariAleya SenAmit Ravindernath SharmaSushil choudhary,,Ayushmann KhurranaNeena GuptaGajraj RaoSurekha SikriSanya MalhotraShardhul Rana,Songs:Tanishk BagchiRochak KohliJAM8Sunny Bawra-Inder BawraScore:Abhishek Arora,₹29 crore[1],est. ₹221.44 crore[2]
Paan Singh Tomar,https://wikipedia.org/wiki/Paan_Singh_Tomar_(film),Tigmanshu Dhulia,Ronnie Screwvala,Tigmanshu DhuliaSanjay Chauhan[1],Irrfan KhanMahie GillVipin SharmaNawazuddin Siddiqui,Abhishek Ray,₹70 million[2],est. ₹201.80 million[2]
Bade Miyan Chote Miyan,https://wikipedia.org/wiki/Bade_Miyan_Chote_Miyan,,,,,,,
Super 30,https://wikipedia.org/wiki/Super_30,,,,,,,
Padmaavat,https://wikipedia.org/wiki/Padmaavat,Sanjay Leela Bhansali,Sanjay Leela BhansaliSudhanshu VatsAjit Andhare,,Deepika PadukoneShahid KapoorRanveer SinghAditi Rao Hydari,Songs:Sanjay Leela BhansaliScore:Sanchit Balhara,₹180–190 crore[4][5][6],est. ₹572 crore[7]
Article 15,https://wikipedia.org/wiki/Article_15_(film),Anubhav Sinha,Anubhav Sinha,Gaurav SolankiAnubhav Sinha,"Ayushmann Khurrana
Nassar
Manoj Pahwa
Kumud Mishra
Isha Talwar
Sayani Gupta
Mohammed Zeeshan Ayyub",Songs:Anurag Saikia Piyush ShankarDevin ParkarGingger ShankarBackground Score: Mangesh Dhakde,₹30 crore (US$3.6 million)[3][better source needed],est. ₹93.08 crore (US$11 million)[4]
Laapataa Ladies,https://wikipedia.org/wiki/Laapataa_Ladies,Kiran Rao,"Aamir Khan
Kiran Rao
Jyoti Deshpande","Original Story:
Biplab Goswami[1]
Screenplay and Dialogues:
Sneha Desai
Additional Dialogues:
Divyanidhi Sharma","Nitanshi Goel
Sparsh Shrivastava
Pratibha Ranta
Abhay Dubey
Chhaya Kadam
Ravi Kishan",Ram Sampath,est.₹4−5 crore[4],est. ₹25.26 crore[5]
Madgaon Express,https://wikipedia.org/wiki/Madgaon_Express,Kunal Khemu,Farhan AkhtarRitesh Sidhwani,Kunal Khemu,"Divyenndu
Pratik Gandhi
Avinash Tiwary
Nora Fatehi
Upendra Limaye
Chhaya Kadam",Songs:Sharib-ToshiAnkur TewariKunal KhemuSagar DesaiSameer UddinAjay–AtulScore:Sameer Uddin,₹30 crore[2],est. ₹48.98 crore[3]
Bachchhan Paandey,https://wikipedia.org/wiki/Bachchhan_Paandey,Farhad Samji,Sajid Nadiadwala,Sajid NadiadwalaFarhad SamjiTushar HiranandaniSparsh KhetarpalTasha BhambraZeishan Quadri,Akshay KumarKriti SanonJacqueline FernandezArshad Warsi,Songs:Amaal MallikB PraakVikram MontroseJaaniRoyScore:Julius Packiam,est. ₹180 crore[5],₹73.17 crore[6]
Black,https://wikipedia.org/wiki/Black_(2005_film),Sanjay Leela Bhansali,"Sanjay Leela Bhansali
Anshuman Swami",,"Amitabh Bachchan
Rani Mukerji",Monty Sharma,₹20–22 crore[a],₹66.6 crore
Tanhaji: The Unsung Warrior,https://wikipedia.org/wiki/Tanhaji,Om Raut,Ajay DevgnBhushan KumarKrishan Kumar,Prakash KapadiaOm Raut,Ajay DevgnKajolSaif Ali Khan,Score:Sandeep ShirodkarSongs:Ajay–AtulSachet–ParamparaMehul VyasPrasenjit Kosambi,₹120 crore[2][3][4],est. ₹367.65 crore[5]
The Tashkent Files,https://wikipedia.org/wiki/The_Tashkent_Files,Vivek Agnihotri,Haresh PatelPranay ChokshiAnuya Chauhan KudechaVivek AgnihotriRitesh KudechaSharad Patel,Vivek Agnihotri,Mithun ChakrabortyNaseeruddin ShahShweta Basu PrasadPankaj TripathiMandira BediPallavi JoshiRajesh Sharma,Songs:Rohit SharmaScore:Satya Manik Afsar,₹7.5 crore[3],est. ₹20.84 crore[4]
Gunjan Saxena: The Kargil Girl,https://wikipedia.org/wiki/Gunjan_Saxena:_The_Kargil_Girl,Sharan Sharma,Karan JoharHiroo Yash JoharApoorva MehtaZee Studios,Nikhil MehrotraSharan Sharma,Janhvi Kapoor Pankaj TripathiAngad Bedi,Score:  John Stewart Eduri  Songs:  Amit Trivedi,,
Anand,https://wikipedia.org/wiki/Anand_(1971_film),Hrishikesh Mukherjee,Hrishikesh MukherjeeN. C. Sippy,Bimal DuttaGulzarD.N. MukherjeeHrishikesh MukherjeeBiren Tripathy,Rajesh KhannaAmitabh BachchanSumita SanyalRamesh DeoSaurabh Singh(Vicumbe),Salil Chowdhury,,₹1.7 crore (equivalent to ₹81 crore or US$9.7 million in 2023)[2]
Fanaa,https://wikipedia.org/wiki/Fanaa_(film),Kunal Kohli,Aditya ChopraYash Chopra,Story and Screenplay:Shibani BathijaDialogues:Kunal Kohli,Aamir KhanKajol,Songs:Jatin–LalitScore:Salim–Sulaiman,₹30 crore[1],₹105.48 crore[1]
Crew,https://wikipedia.org/wiki/Crew_(film),Rajesh A Krishnan,"Ekta Kapoor
Rhea Kapoor
Anil Kapoor
Digvijay Purohit","Nidhi Mehra
Mehul Suri","Tabu
Kareena Kapoor Khan
Kriti Sanon
Diljit Dosanjh
Kapil Sharma",Songs:Diljit DosanjhBadshahRaj RanjodhVishal MishraAkshay–IPBharg–RohitScore:John Stewart Eduri,₹75 crore[2],₹157.08 crore[3]
Raanjhanaa,https://wikipedia.org/wiki/Raanjhanaa,Aanand L. Rai,Krishika Lulla[1]Aanand L. Rai,Himanshu Sharma,DhanushSonam KapoorAbhay DeolSwara Bhaskar,A. R. Rahman,₹36 crore[2],est. ₹94 crore[2]
Jodhaa Akbar,https://wikipedia.org/wiki/Jodhaa_Akbar,Ashutosh Gowariker,Ronnie ScrewvalaAshutosh Gowariker,K. P. Saxena (dialogue),Hrithik RoshanAishwarya Rai Bachchan,A. R. Rahman,₹40 crores[1],est. ₹120 crores[2][3]
Dabangg,https://wikipedia.org/wiki/Dabangg,Abhinav Singh Kashyap,"Arbaaz Khan
Malaika Arora Khan
Dhilin Mehta","Dilip Shukla
Abhinav Singh Kashyap","Salman Khan
Sonakshi Sinha
Arbaaz Khan",Songs:Sajid–WajidLalit PanditScore:Sandeep Shirodkar,₹41 crore[2],est. ₹221.14 crore[3]
Freddy,https://wikipedia.org/wiki/Freddy_(film),Shashanka Ghosh,Ekta KapoorShobha KapoorJay ShewakramaniGaurav Bose,Parveez Shaikh,"Kartik Aaryan
Alaya F",Songs:  Pritam  Score:  Clinton Cerejo,,
Wake Up Sid,https://wikipedia.org/wiki/Wake_Up_Sid,Ayan Mukerji,"Hiroo Yash Johar
Karan Johar",Story and Screenplay:Ayan MukerjiDialogues:Niranjan Iyengar,"Ranbir Kapoor
Konkana Sen Sharma",Score:Amit TrivediSongs:Shankar–Ehsaan–LoyAmit Trivedi,₹18 crore[1],₹47.10 crore[1]
Piku,https://wikipedia.org/wiki/Piku,Shoojit Sircar,N.P. SinghRonnie LahiriSneha Rajani,Juhi Chaturvedi,Amitabh BachchanDeepika PadukoneIrrfan KhanMoushumi ChatterjeeJisshu SenguptaRaghubir Yadav,Anupam Roy,₹42 crore(US$5.3 million)[2],₹141 crore (US$17 million)[2]
Tiger Zinda Hai,https://wikipedia.org/wiki/Tiger_Zinda_Hai,Ali Abbas Zafar,Aditya Chopra,Ali Abbas Zafar,"Salman Khan
Katrina Kaif
Sajjad Delafrooz
Angad Bedi
Kumud Mishra
Girish Karnad
Paresh Rawal",Songs:Vishal–ShekharScore:Julius Packiam,₹120−130 crore[2][3],est. ₹565 crore[4][5]
Raazi,https://wikipedia.org/wiki/Raazi,Meghna Gulzar,Vineet JainKaran JoharHiroo Yash JoharApoorva Mehta,Screenplay:Bhavani IyerMeghna GulzarDialogues:Meghna Gulzar,"Alia Bhatt
Vicky Kaushal
Jaideep Ahlawat
Rajit Kapur
Shishir Sharma
Soni Razdan
Amruta Khanvilkar
Arif Zakaria",Shankar–Ehsaan–Loy,₹35–40 crore[2],est. ₹195.75 crore[3][4][5][6]
Mohabbatein,https://wikipedia.org/wiki/Mohabbatein,Aditya Chopra,Yash Chopra,Aditya Chopra,"Amitabh Bachchan
Shah Rukh Khan
Aishwarya Rai",Songs:  Jatin–Lalit  Score:  Babloo Chakravorty,₹13 crore[2],₹90 crore[3]
War,https://wikipedia.org/wiki/War_(2019_film),Siddharth Anand,Aditya Chopra,,Hrithik RoshanTiger ShroffVaani Kapoor,Score:Sanchit BalharaAnkit BalharaSongs:Vishal–Shekhar,₹170 crore[3],₹475.62 crore[4]
Bhool Bhulaiyaa 2,https://wikipedia.org/wiki/Bhool_Bhulaiyaa_2,Anees Bazmee,Bhushan KumarMurad KhetaniKrishan KumarAnjum Khetani,Story and Screenplay:Aakash KaushikDialogues:Farhad SamjiAakash Kaushik,"Tabu
Kartik Aaryan
Kiara Advani",Songs:PritamTanishk BagchiBackground Score:Sandeep Shirodkar,₹70 crore[3][4][5],₹266.88 crore[6]
Aashiqui 2,https://wikipedia.org/wiki/Aashiqui_2,Mohit Suri,Mukesh BhattMahesh BhattBhushan KumarKrishan Kumar,Shagufta Rafique,Aditya Roy KapurShraddha KapoorMahesh ThakurShaad Randhawa,Songs:Jeet GannguliMithoonAnkit TiwariScore:Raju Singh,₹18 crore (US$2.2 million)[2],₹109 crore (US$13 million)[3]
Bhool Bhulaiyaa,https://wikipedia.org/wiki/Bhool_Bhulaiyaa,Priyadarshan,Bhushan Kumar Krishan Kumar,"Screenplay: Neeraj Vora
Dialogues: Manisha KordeYashwant Mahilwar","Akshay Kumar
Vidya Balan
Shiney Ahuja
Ameesha Patel",Songs:PritamScore:Ranjit Barot,₹32 crore[1],₹82.837 crore[2][3]
Major,https://wikipedia.org/wiki/Major_(film),Sashi Kiran Tikka,Mahesh BabuNamrata ShirodkarAnurag ReddySharath Chandra,,"Adivi Sesh
Prakash Raj
Sobhita Dhulipala
Saiee Manjrekar
Revathi
Murali Sharma
Anish Kuruvilla",Sricharan Pakala,₹32 crore[1],₹64−66 crore[2][3]
Bharat,https://wikipedia.org/wiki/Bharat_(film),Ali Abbas Zafar,Atul AgnihotriAlvira Khan AgnihotriBhushan KumarKrishan KumarNikhil NamitSalman Khan,Ali Abbas ZafarVarun V. Sharma[a],Salman KhanKatrina KaifDisha PataniSunil GroverJackie Shroff,Score:Julius PackiamSongs:Vishal–Shekhar,₹100 crore[2][3],₹325.58 crore[4]
Tamasha,https://wikipedia.org/wiki/Tamasha_(2015_film),Imtiaz Ali,Sajid Nadiadwala,Imtiaz Ali,Ranbir KapoorDeepika Padukone,A. R. Rahman,₹87 crore,est. ₹136.63 crore[2]
Dev.D,https://wikipedia.org/wiki/Dev.D,Anurag Kashyap,Ronnie Screwvala,Anurag KashyapVikramaditya Motwane,Abhay DeolMahie GillKalki Koechlin,Amit Trivedi,"11 crore
[2]","20.82 crore
[2]"
An Action Hero,https://wikipedia.org/wiki/An_Action_Hero,Anirudh Iyer,Bhushan KumarKrishan KumarAanand L. Rai,Neeraj Yadav,Ayushmann KhurranaJaideep Ahlawat,Score:Parag ChhabraSunny M. R.Songs:Tanishk BagchiBidduParag ChhabraAmar Jalal,,
Udta Punjab,https://wikipedia.org/wiki/Udta_Punjab,Abhishek Chaubey,Shobha KapoorEkta KapoorAnurag KashyapVikramaditya MotwaneAman GillVikas BahlMadhu Mantena,Sudip SharmaAbhishek Chaubey,Shahid KapoorAlia BhattKareena Kapoor KhanDiljit Dosanjh,Original Songs:Amit TrivediBackground Score:Benedict TaylorNaren Chandavarkar,₹34 crore[2][3],est. ₹96.1–99.7 crore[4][5]
Hindi Medium,https://wikipedia.org/wiki/Hindi_Medium,Saket Chaudhary,Dinesh Vijan Bhushan Kumar,Saket ChaudharyZeenat LakhaniAbdul Rafay Chandio (Lyrics )Amitosh Nagpal (Dialogues),Irrfan KhanSaba QamarDishita SehgalDeepak DobriyalAmrita Singh,"Songs:
Sachin–Jigar
Guru Randhawa
Score:
Amar Mohile",₹14 crore[2],est. ₹322.4 crore[3]
Radhe Shyam,https://wikipedia.org/wiki/Radhe_Shyam,Radha Krishna Kumar,"V. Vamsi Krishna Reddy
Pramod Uppalapati
Praseedha Uppalapati
Bhushan Kumar
Krishnam Raju (presenter)",Radha Krishna Kumar,"Prabhas
Pooja Hegde","Songs:
Justin Prabhakaran (Telugu)
Mithoon (Hindi)
Manan Bhardwaj (Hindi)
Amaal Mallik (Hindi)
Score:
S. Thaman (Telugu)
Sanchit Balhara and Ankit Balhara (Hindi)",₹200–350 crore[a],est. ₹200–214.04 crore[b]
Masaan,https://wikipedia.org/wiki/Masaan,Neeraj Ghaywan,Drishyam Films  Phantom Films  Macassar Productions  Sikhya EntertainmentKanchan Chandnani,Varun Grover,Richa ChaddaVicky KaushalShweta TripathiSanjay Mishra,Indian Ocean,,
Dil Se..,https://wikipedia.org/wiki/Dil_Se..,Mani Ratnam,Bharat ShahMani RatnamRam Gopal VarmaShekhar Kapur,Story & Screenplay:Mani RatnamDialogues:Tigmanshu Dhulia,Shah Rukh KhanManisha KoiralaPreity Zinta,A. R. Rahman,"₹11.5
crore[2]",₹28.40 crore[2]
Badla,https://wikipedia.org/wiki/Badla_(2019_film),Sujoy Ghosh,"Gauri Khan
Sunir Khetarpal
Akshai Puri","Sujoy GhoshRaj Vasant
(dialogue)","Amitabh Bachchan
Taapsee Pannu
Amrita Singh
Tony Luke
Manav Kaul",Songs:  Amaal Mallik  Anupam Roy  Clinton Cerejo  Background Score:  Clinton Cerejo,₹100 million[3],est. ₹1.385 billion[4][5]
Shehzada,https://wikipedia.org/wiki/Shehzada_(film),Rohit Dhawan,Bhushan KumarKrishan KumarAman GillAllu AravindS. Radha KrishnaKartik Aaryan,,"Kartik Aaryan
Kriti Sanon
Paresh Rawal
Manisha Koirala
Ronit Roy",Songs:PritamAbhijit VaghaniBackground Score:Julius Packiam,₹65 crore[2],est.₹47.43 crore[3]
Highway,https://wikipedia.org/wiki/Highway_(2014_Hindi_film),Imtiaz Ali,Sajid NadiadwalaImtiaz Ali,Imtiaz AliIrshad Kamil (lyrics),"Alia Bhatt
Randeep Hooda",A. R. Rahman,₹25 crore[3],₹47.7 crore[3]
Zero,https://wikipedia.org/wiki/Zero_(2018_film),Aanand L. Rai,Gauri KhanAanand L. Rai,Himanshu Sharma,Shah Rukh KhanKatrina Kaif,Ajay-AtulTanishk Bagchi,₹200 crore[5],₹191.43 crore[6]
Haseen Dillruba,https://wikipedia.org/wiki/Haseen_Dillruba,Vinil Mathew,Eros InternationalAanand L. RaiHimanshu SharmaBhushan KumarKrishan Kumar,Kanika Dhillon,"Taapsee Pannu
Vikrant Massey
Harshvardhan Rane",Songs:Amit TrivediScore:Amar Mangrulkar,,
Runway 34,https://wikipedia.org/wiki/Runway_34,Ajay Devgn,Ajay Devgn,Sandeep KewlaniAamil Keeyan Khan,Ajay DevgnAmitabh BachchanRakul Preet SinghBoman IraniAngira  DharAakanksha Singh,Jasleen Royal,₹75 crore[2],est. ₹53.77 crore[3]
Satyaprem Ki Katha,https://wikipedia.org/wiki/Satyaprem_Ki_Katha,Sameer Vidwans,Sajid NadiadwalaShareen Mantri KediaKishor Arora,Karan Shrikant Sharma,Kartik AaryanKiara Advani,Score:Hitesh SonikSongs:Meet BrosAnjjan BhattacharyaTanishk BagchiManan BhardwajPayal DevRochak KohliAli Sethi,₹60 crore[2][3],₹117.77 crore[4][5]
